participant-id,multiple-choice,choice,choice-time,continued,continued-time,satisfaction,satisfaction-time
june26_07,Imagery Condition,3,16.487416744232178,no,4.62990665435791,5,4.799559831619263
june26_07,Control Condition,2,4.797658205032349,no,5.001316785812378,2,4.752417802810669
june26_07,Comparative Condition,3,16.394922733306885,no,4.998625755310059,2,4.80700421333313
june26_07,Descriptive Condition,2,42.24777889251709,no,4.711318731307983,6,4.825484752655029
8-31_test1,Imagery Condition,2,28.57928228378296,no,4.69041109085083,5,4.739231586456299
8-31_test1,Comparative Condition,3,4.705812931060791,no,4.803313970565796,6,4.817746162414551
0902_01,Imagery Condition,3,4.670382261276245,no,4.78110671043396,2,4.804298400878906
0902_01,Descriptive Condition,1,4.8351945877075195,no,4.838544845581055,5,4.8159379959106445
0902_01,Comparative Condition,3,21.319814920425415,no,4.848988771438599,3,4.801954507827759
0902_01,Control Condition,3,4.783019065856934,no,4.710346221923828,5,4.957132816314697
0905_02_test,Comparative Condition,2,72.81176924705505,yes,4.8068506717681885,5,4.805061101913452
0905_02_test,Imagery Condition,2,4.87924861907959,yes,4.6971282958984375,2,9.375358819961548
0905_02_test,Descriptive Condition,3,4.891144037246704,yes,4.857580900192261,5,159.89143705368042
0905_02_test,Control Condition,3,4.896227121353149,yes,4.855419635772705,2,4.767408609390259
krithik7,Imagery Condition,2,4.876701354980469,yes,4.779574871063232,1,4.767447233200073
krithik7,Comparative Condition,3,15.14841103553772,no,4.692428112030029,5,4.9117491245269775
